"chord" "key" "music"
"168" "B" "F#" "muse animals"
"169" "A" "F#" "muse animals"
"170" "G#" "F#" "muse animals"
"171" "F#" "F#" "muse animals"
"172" "F" "F#" "muse animals"
"173" "D#m" "F#" "muse animals"
"174" "C#" "F#" "muse animals"
"175" "B" "F#" "muse animals"
"176" "G#m" "F#" "muse animals"
"177" "A#" "F#" "muse animals"
"178" "A#" "F#" "muse animals"
"179" "D#m" "F#" "muse animals"
"180" "C#" "F#" "muse animals"
"181" "G#m" "F#" "muse animals"
"182" "F#" "F#" "muse animals"
"183" "D#m" "F#" "muse animals"
"184" "C#" "F#" "muse animals"
"185" "G#m" "F#" "muse animals"
"186" "F#" "F#" "muse animals"
"187" "D#m" "F#" "muse animals"
"188" "C#" "F#" "muse animals"
"189" "G#m" "F#" "muse animals"
"190" "F#" "F#" "muse animals"
"191" "D#m" "F#" "muse animals"
"192" "C#" "F#" "muse animals"
"193" "G#m" "F#" "muse animals"
"194" "F#" "F#" "muse animals"
"195" "G#m" "F#" "muse animals"
"196" "G" "F#" "muse animals"
"197" "F#" "F#" "muse animals"
"198" "F" "F#" "muse animals"
"199" "C#" "F#" "muse animals"
"200" "B" "F#" "muse animals"
"201" "A" "F#" "muse animals"
"202" "G#" "F#" "muse animals"
"203" "F#" "F#" "muse animals"
"204" "F" "F#" "muse animals"
"205" "D#m" "F#" "muse animals"
"206" "C#" "F#" "muse animals"
"207" "B" "F#" "muse animals"
"208" "G#m" "F#" "muse animals"
"209" "A#" "F#" "muse animals"
"210" "A#" "F#" "muse animals"
"211" "G#m" "F#" "muse animals"
"212" "G" "F#" "muse animals"
"213" "F#" "F#" "muse animals"
"214" "F" "F#" "muse animals"
"215" "C#" "F#" "muse animals"
"216" "B" "F#" "muse animals"
"217" "A" "F#" "muse animals"
"218" "G#" "F#" "muse animals"
"219" "F#" "F#" "muse animals"
"220" "F" "F#" "muse animals"
"221" "D#m" "F#" "muse animals"
"222" "C#" "F#" "muse animals"
"223" "B" "F#" "muse animals"
"224" "G#m" "F#" "muse animals"
"225" "A#" "F#" "muse animals"
"226" "A#" "F#" "muse animals"
"227" "F#m" "A" "muse apocalypse please"
"228" "C#m" "A" "muse apocalypse please"
"229" "F#m" "A" "muse apocalypse please"
"230" "D" "A" "muse apocalypse please"
"231" "E" "A" "muse apocalypse please"
"232" "A" "A" "muse apocalypse please"
"233" "C#" "A" "muse apocalypse please"
"234" "A" "A" "muse apocalypse please"
"235" "C#" "A" "muse apocalypse please"
"236" "F#m" "A" "muse apocalypse please"
"237" "C#m" "A" "muse apocalypse please"
"238" "F#m" "A" "muse apocalypse please"
"239" "D" "A" "muse apocalypse please"
"240" "E" "A" "muse apocalypse please"
"241" "A" "A" "muse apocalypse please"
"242" "C#" "A" "muse apocalypse please"
"243" "A" "A" "muse apocalypse please"
"244" "C#" "A" "muse apocalypse please"
"245" "F#m" "A" "muse apocalypse please"
"246" "C#m" "A" "muse apocalypse please"
"247" "F#m" "A" "muse apocalypse please"
